episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.16954091598745435,True,False
2,490.0,722,1107,0.1,0.023762568107081786,1.1463392080040649,True,False
3,1160.0,552,1659,0.1,0.02742135925939732,4.141677957988577,True,False
4,680.0,600,2259,0.1,0.03168011718895286,7.156968166003935,True,False
5,330.0,461,2720,0.1,0.032801366225487134,8.839867665985366,True,False
6,680.0,514,3234,0.1,0.03226419429302041,12.381204790988704,True,False
7,570.0,540,3774,0.1,0.037754892558721755,16.072852332988987,True,False
8,1050.0,647,4421,0.1,0.03614237004198295,20.927055832988117,True,False
9,870.0,775,5196,0.1,0.03877157460749341,26.75920220799162,True,False
10,960.0,634,5830,0.1,0.04084732952451074,31.021071249997476,True,False
11,400.0,503,6333,0.1,0.042756859708340866,35.361465916008456,True,False
12,650.0,669,7002,0.1,0.0417308545361892,41.01004449999891,True,False
13,570.0,662,7664,0.1,0.043829123324052574,44.30975537499762,True,False
14,2140.0,988,8652,0.1,0.045586869823802945,48.05159137499868,True,False
15,780.0,708,9360,0.1,0.03974192891346217,50.83704474999104,True,False
16,280.0,433,9793,0.1,0.04561013411902995,52.4453461249941,True,False
17,600.0,640,10433,0.1,0.042302541516255586,54.8019895000034,True,False
18,1930.0,1312,11745,0.1,0.043108102017246956,58.97339216599357,True,False
19,420.0,467,12212,0.1,0.04460404165343851,60.46926824998809,True,False
20,860.0,711,12923,0.1,0.04321409853196329,62.662721416010754,True,False
21,370.0,477,13400,0.1,0.04379606854636222,64.20065383298788,True,False
22,360.0,509,13909,0.1,0.04333417218061179,65.81064516599872,True,False
23,390.0,511,14420,0.1,0.0443356127361767,67.39733824998257,True,False
24,470.0,608,15028,0.1,0.042244041257378594,69.27023362499312,True,False
25,410.0,356,15384,0.1,0.041460102235668164,70.41566241599503,True,False
26,520.0,585,15969,0.1,0.04086294810427991,76.35823212499963,True,False
27,640.0,494,16463,0.1,0.04645355442364708,78.79751983299502,True,False
28,1130.0,684,17147,0.1,0.048026289041998266,81.3036130410037,True,False
29,270.0,432,17579,0.1,0.0480006140553289,83.01068212499376,True,False
30,1340.0,699,18278,0.1,0.04637415419199637,85.67574704100844,True,False
31,150.0,306,18584,0.1,0.050959008854705015,88.25738399999682,True,False
32,680.0,571,19155,0.1,0.04768036817803874,90.75514587500948,True,False
33,570.0,576,19731,0.1,0.04983739186880282,92.70272633299464,True,False
34,550.0,507,20238,0.1,0.04616513144312881,94.33603462498286,True,False
35,520.0,448,20686,0.1,0.05237778649565631,95.74780041599297,True,False
36,510.0,425,21111,0.1,0.04984611324649656,97.17959216600866,True,False
37,1320.0,822,21933,0.1,0.05520802372117138,99.82942374999402,True,False
38,830.0,624,22557,0.1,0.05570370744233234,102.89288354100427,True,False
39,550.0,564,23121,0.1,0.05145268673935892,104.90045575000113,True,False
40,300.0,363,23484,0.1,0.045507815589739396,107.52624112498597,True,False
41,390.0,410,23894,0.1,0.060552983444330154,108.97269237498404,True,False
42,390.0,556,24450,0.1,0.05650583909248277,110.78099520798423,True,False
43,900.0,636,25086,0.1,0.04861197214714199,112.81546012498438,True,False
44,780.0,558,25644,0.1,0.05317366673012397,114.67253245800384,True,False
45,1190.0,711,26355,0.1,0.055486661484622855,116.95717795798555,True,False
46,700.0,592,26947,0.1,0.054785430834100056,118.77333062500111,True,False
47,810.0,857,27804,0.1,0.061373575170372806,121.43502770800842,True,False
48,630.0,593,28397,0.1,0.05494070744041253,123.2834812499932,True,False
49,450.0,366,28763,0.1,0.05155593297024677,124.44772575001116,True,False
50,1880.0,1031,29794,0.1,0.05630091483733624,127.54687741599628,True,False
